name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,Mood
One - Radio Edit,One (Your Name),Swedish House Mafia,41KPpw0EZCytxNkmEMJVgr,2010-07-23,56,169920,0.802,0.0075,0.781,0.825,0.147,0.622,-6.564,0.0368,125.026,0,4,energetic
At Night - Original Club Mix,At Night,Shakedown,0GA6S7nyMRn1w1S5o1LGFX,2002-04-29,0,404626,0.809,0.012,0.877,0.666,0.0426,0.966,-4.589,0.0747,126.995,5,4,energetic
E Samba (Radio Edit),E Samba,Junior Jack,1osotOzW5VLHnsBoV4oc57,2003-07-07,0,216533,0.637,0.00415,0.967,0.31,0.106,0.717,-8.091,0.0632,124.964,7,4,energetic
Stupidisco (Radio Edit),Stupidisco,Junior Jack,3R2ezKaNvWEvCYoZ0fkxwN,2004-06-21,0,220026,0.71,0.021,0.987,0.543,0.693,0.749,-4.377,0.0521,125.015,1,4,energetic
Feel Good (Mutant Disco Edit),Demon UK Top 75 Hits Vol 6,Various Artists,7rfbVxCI1n1uM0Dk64Swlq,2008-05-07,0,212693,0.807,0.0338,0.878,0.000199,0.129,0.875,-7.402,0.0924,129.872,11,4,energetic
Change,Demon UK Top 75 Hits Vol 6,Various Artists,66Q809jmVSjMbcF41JR1Zk,2008-05-07,0,221986,0.735,0.075,0.966,0.000143,0.407,0.9,-4.893,0.0535,126.939,5,4,energetic
Tonite,Demon UK Top 75 Hits Vol 7,Various Artists,2k9bZas5NJRTgCZytJrFLQ,2008-05-07,0,227466,0.735,0.00715,0.794,0.0618,0.315,0.967,-8.774,0.0293,129.017,6,4,energetic
This Time Around,Demon UK Top 75 Hits Vol 7,Various Artists,11Q1qVMp4LljOiHN8vPhWI,2008-05-07,0,213466,0.724,0.00425,0.684,7.69e-06,0.147,0.694,-7.112,0.0427,128.016,8,4,energetic
Eple,Eple,Röyksopp,3lFFvF5PtAKKvtnfWTxutX,2001,22,218320,0.68,0.00746,0.849,0.0694,0.108,0.806,-5.295,0.0444,106.486,6,4,energetic
The Girl and the Robot,Junior,Röyksopp,6VCqx14OVaX9uwSvC0PvAG,2009-03-18,44,268893,0.511,0.115,0.899,0.000105,0.107,0.0773,-5.323,0.0601,121.0,9,4,energetic
Only This Moment,The Understanding,Röyksopp,2tU3i1kr8Oc8MfDKTZdWyq,2005-06-22,36,235680,0.506,0.000162,0.943,0.0158,0.21,0.585,-6.232,0.039,122.971,0,4,energetic
Poor Leno,Melody AM,Röyksopp,5cxRbfQWrT4NZ2msbtSx4H,2001-08-22,28,237826,0.562,0.000524,0.813,0.299,0.255,0.79,-9.657,0.0354,123.779,10,4,energetic
"Right Here, Right Now","You've Come A Long Way, Baby",Fatboy Slim,2nXBu5Ra6LGrJJzXHHm0co,1998-09-14,0,388026,0.523,0.0128,0.864,0.496,0.674,0.0911,-8.08,0.154,124.632,7,4,energetic
My My My - Radio Edit,My My My,Armand Van Helden,4a2R36HOxSh9qdyLDrkMzK,2006,37,190000,0.678,0.0195,0.768,0.00866,0.0322,0.758,-8.502,0.137,127.51,7,4,energetic
Flashdance,George Is On,Deep Dish,44JKxBdG6RzloiumpEBgVf,2005-07-04,10,358826,0.814,0.209,0.946,0.066,0.291,0.372,-7.777,0.0893,125.993,6,4,energetic
Another Chance - Radio Edit,Another Chance,Roger Sanchez,0EoGXXi91KSqAIY7SSgizW,2001-07-05,58,207360,0.608,0.000506,0.893,0.0246,0.297,0.838,-6.968,0.0316,129.881,3,4,energetic
Turn On The Music - Axwell Radio Edit,Houseworks Boom - The Ultimative Hits,Various Artists,13TLHC87blD2JbN9Pdg5cN,2003,0,238419,0.583,0.00387,0.737,0.00276,0.505,0.488,-5.663,0.151,128.957,6,4,energetic
I Never Knew,First Contact,Roger Sanchez,2PSVE6hBOuk4KsRhMBWMrA,2000-07-23,12,412800,0.683,0.0299,0.813,0.0,0.0779,0.662,-4.989,0.0781,126.463,11,4,energetic
Memories (feat. Kid Cudi),One More Love,David Guetta,5xYC48nOppVemY6U5GRGTb,2010-11-22,74,210853,0.546,0.00144,0.916,4.34e-06,0.251,0.375,-3.932,0.255,129.983,8,4,energetic
Love Is Gone,Pop Life,David Guetta,03oK265y87YNXHIQSOAWOp,2007-06-01,48,186320,0.651,0.0108,0.796,0.000376,0.466,0.638,-5.303,0.0415,127.989,4,4,energetic
Love Don't Let Me Go,Just a Little More Love,David Guetta,5lgS45xqkTk2HVm7Jph9ya,2002-05-20,54,216893,0.593,7.37e-05,0.836,0.0,0.117,0.406,-4.774,0.0463,127.087,10,4,energetic
Baby When the Light (feat. Cozi),Baby When The Light (feat. Cozi),David Guetta,5CeKxQgaHX2QqFXFkypXuG,2007-10-05,22,207813,0.586,0.0238,0.736,0.0,0.183,0.256,-8.02,0.0339,129.963,0,4,energetic
2People - Louis La Roche Remix,Pukka Up pres Ibiza Loves Me...The Summer Lives On,Various Artists,1TdlewfBxVU5bgXyaEJlfc,2011-12-12,0,273470,0.863,0.00786,0.747,0.588,0.0495,0.743,-7.274,0.113,127.128,10,4,energetic
Shined On Me - UK Radio Edit,Houseworks Boom - The Ultimative Hits,Various Artists,4mcSQBgusPXg7eVvwbcrRg,2003,0,223816,0.768,0.037,0.955,0.233,0.618,0.846,-4.396,0.0878,131.991,1,4,energetic
Tell Me Why (Radio Edit),Tell Me Why,Supermode,6OHJCsg2wLsoLMpY0F9OtY,2006-07-17,4,167866,0.555,0.00225,0.913,8.98e-05,0.187,0.652,-7.515,0.0725,128.997,6,4,energetic
When Love Takes Over (feat. Kelly Rowland),One More Love,David Guetta,1hRFVIy9As8OVRk8B7CrD5,2010-11-22,68,191000,0.675,0.0165,0.862,0.000427,0.169,0.498,-4.614,0.0253,129.967,11,4,energetic
Alright - Radio Edit,Alright,Red Carpet,51ZJnoNBf4D8jLsAT94PkR,2010-10-20,0,225746,0.67,0.0745,0.649,0.0586,0.213,0.431,-9.179,0.042,129.945,7,4,energetic
D.A.N.C.E.,Cross,Justice,0MYTcPXAAmeKBUpBgtAV0J,2007-06-18,0,209986,0.594,0.0463,0.961,0.0,0.853,0.531,-5.443,0.338,113.126,6,4,energetic
Aerodynamic,Aerodynamic,Daft Punk,5o5O70lyFH1sTDNyktHbTA,2001-03-28,28,212546,0.624,0.328,0.911,0.861,0.0727,0.135,-7.482,0.0524,122.902,7,4,energetic
Digital Love - Radio Edit [Radio Edit],Digital Love,Daft Punk,5D06AhoBSkwDbgkuALoIot,2001-06-08,30,240826,0.65,0.0595,0.691,0.791,0.137,0.658,-8.304,0.0325,124.716,9,4,energetic
"Harder, Better, Faster, Stronger","Harder, Better, Faster, Stronger",Daft Punk,2cJz1loJp5EZM6shmQpLZN,2001-10-13,41,226413,0.814,0.0392,0.73,0.00333,0.343,0.646,-8.876,0.149,123.494,6,4,energetic
Streetlife,The Culture Series 'Dance Anthems',Various Artists,4k9uPomrrZ1QGeNUne5dgU,2011-03-14,0,372101,0.752,5.58e-05,0.699,0.457,0.174,0.8,-12.086,0.0458,129.518,1,4,energetic
It Just Won't Do - Radio Edit,It Just Won't Do,Tim Deluxe,6Ss1QOGzn0iG8hrRRSGrr9,2011-11-28,55,198000,0.678,0.00166,0.936,0.457,0.376,0.877,-4.876,0.0373,129.996,5,4,energetic
Put Your Hands Up for Detroit - Radio Edit,Put Your Hands Up For Detroit,Fedde Le Grand,3W82SU7ZOJXMwD4grmk6We,2006,0,152533,0.818,0.0193,0.931,0.19,0.0856,0.495,-4.529,0.211,127.919,7,4,energetic
You Are My High,Midnight Funk,Demon,4HUMMFH06dIfzUG2ht1BJN,1999-01-01,49,229426,0.644,7.58e-06,0.93,0.865,0.146,0.239,-5.477,0.0471,120.877,2,4,energetic
Saving Mary,Essential - Chill Out,Various Artists,57ya1fq8XLGefkByOmneQS,2010-09-10,19,217093,0.683,0.00736,0.59,0.102,0.529,0.141,-12.173,0.0571,125.003,7,4,energetic
Love Sensation '06 (Freemasons Remix),Love Sensation '06,Loleatta Holloway,1uvvbns1bpYowQq0bAtlu1,2006-05-22,0,556986,0.626,0.00215,0.976,0.825,0.208,0.759,-3.432,0.0915,126.037,9,4,energetic
"Right on, Right On",Right On / Desert Storm,Various Artists,7tMOuHZDXd7BfcUPQqjtM5,1994,0,516173,0.673,0.0326,0.615,0.87,0.132,0.775,-9.691,0.042,125.026,11,4,energetic
The Sound Of Violence,Au Rêve,Cassius,4UheXbLFGo7utz3uUxkPon,2002,0,433000,0.71,0.00259,0.849,0.0081,0.35,0.62,-6.495,0.0796,119.752,6,4,energetic
Boogie 2Nite - Seamus Haji Big Love Remix,Boogie 2Nite,Booty Luv,0Iavt9FCrCAUULs27r6gkP,2007-01-01,0,197986,0.645,0.0244,0.858,0.00109,0.554,0.859,-6.843,0.0661,126.961,7,4,energetic
I Want Your Soul - Radio Edit,I Want Your Soul,Armand Van Helden,1r7mFV7J5Sw5ewHByvmtXa,2007-06-15,25,195960,0.662,0.00427,0.911,0.0108,0.16,0.8,-5.312,0.0469,127.962,10,4,energetic
Lazy - Moto Blanco Radio Edit,Lazy,X-Press 2,5FgEr3TCQn7jCVLrnWJj3r,2008-12-07,0,201653,0.641,0.0084,0.932,0.0,0.132,0.541,-4.384,0.128,126.832,10,4,energetic
Da Hype (Instrumental Single Version),Da Hype,Junior Jack,63zQZ1uxMSsD2iOOTuuQig,2004-02-02,0,183240,0.645,0.000101,0.581,0.912,0.321,0.567,-9.565,0.0449,125.946,3,4,energetic
Spread Love - Vocal Love Mix,The Worlds Greatest - Funky House Mix,Various Artists,5wiKCBB30CMVJTlMqsiOE2,2007,0,300266,0.664,0.00815,0.852,0.00592,0.321,0.869,-7.998,0.0382,127.902,7,4,energetic
Sleep Talk (feat. Lisa Millett) - AFTC's Bad Nights Sleep,Bargrooves Disco Heat 2,Various Artists,4sIV0jE4VVPS8fP8MnMcZg,2009-10-02,0,408653,0.752,6.71e-05,0.755,0.0432,0.0755,0.881,-7.66,0.0422,126.485,8,4,energetic
She's a Lady,Night Club Guide to Deep House,Various Artists,3tvYXz1cOxBUxukmSB69fD,2006-04-04,0,246760,0.712,0.00826,0.94,0.412,0.093,0.736,-4.855,0.0437,127.994,11,4,energetic
Bromance - Avicii’s Arena Mix,Pinkstar House Anthems Ibiza 2010,Various Artists,7cdxGn1ElZlpM4M1At0k4g,2010-06-01,25,495374,0.725,0.11,0.649,0.877,0.109,0.0353,-11.269,0.0509,126.018,11,4,energetic
I Found U - Radio Edit,I Found U,Axwell,2bC91HahcxJ8SW72X5llRm,2007,0,173680,0.664,0.0621,0.963,0.00475,0.469,0.263,-6.967,0.0735,129.974,4,4,energetic
Thinking Of You,Thinking Of You,Solitaire,1lfiw9JMiaAwaMG7rFo3mm,2005-01-01,13,248320,0.629,0.000652,0.852,0.00114,0.333,0.757,-12.572,0.0647,124.052,10,4,energetic
I Like Love (I Love Love) Moto Blanco Club Mix,reMIXED suSU,Various Artists,0eIzxYOGpLrA8VYrVBKGh9,2011-04-04,13,498866,0.807,0.000232,0.955,0.0325,0.653,0.566,-7.605,0.192,126.992,7,4,energetic
The Bomb - Phats & Small Mutant Disco Club Mix,The Bomb,Love Connection,1UB9kgP70r7tm2NBzilGX3,2010-08-12,0,460733,0.735,0.00263,0.887,0.769,0.106,0.821,-7.672,0.0471,131.858,2,4,energetic
Dove (I'll Be Loving You) - T&F vs Moltosugo Radio Mix,Dove (I'll Be Loving You),Moony,733C2Xc6WrUwSPyoY1wvqf,2005,0,242000,0.685,4.9e-05,0.761,0.00268,0.0363,0.96,-5.371,0.04,127.04,11,4,energetic
Lola's Theme - Edit Dj Set 3,Lola's Theme,The Shapeshifters,1RmPc1gjtKYInjiHmDdCh9,2004-01-01,1,493000,0.89,6.65e-05,0.566,0.92,0.0604,0.817,-8.394,0.0711,123.983,5,4,energetic
"Get Down (feat. Kenny Dope, DJ Sneak, Terry Hunter & Tara Mcdonald) - Kenny Dope Original",Norman Doray - Strictly Ibiza to Amsterdam (DJ Edition-Unmixed),Various Artists,1jVe39pNKxa8xbNAqROPgZ,2011-10-10,0,353680,0.852,0.0027,0.737,0.032,0.0546,0.723,-7.385,0.0495,126.954,5,4,energetic
Make Luv (Radio Version),Make Luv,Room 5,1rj8sTws7tXmgI8X1GMgKF,2003-03-24,0,212506,0.871,0.00948,0.764,0.822,0.0365,0.705,-9.501,0.114,124.849,8,4,energetic
No Superstar - Radio Mix,No Superstar,Remady,5a6kWsBE18KAJGG3gF2nUU,2008-12-19,38,217585,0.454,0.00318,0.861,0.0263,0.104,0.546,-4.995,0.0399,128.001,11,4,energetic
Superstar - Radio Edit,Superstar,Novy vs. Eniac,3yVFuA1F71z1ZbSg4lw9C6,1997-12-08,4,225426,0.789,0.0807,1.0,0.48,0.334,0.607,-3.917,0.0445,130.021,7,4,energetic
Your Body,HOT! 2 - The Best Autumn Jams for 2010,Various Artists,4cgej0Uws5jbNhDsyTwfMm,2010-09-09,0,212373,0.836,0.0238,0.785,0.0383,0.0791,0.963,-7.325,0.0547,127.997,0,3,energetic
Off The Wall - Enjoy Yourself Mix,Off The Wall,Wisdome,0A6qTKiuoOktnkixH4jEL1,2005-01-01,0,337321,0.704,0.000832,0.977,0.532,0.142,0.578,-8.633,0.0985,128.245,10,4,energetic
Madan - Remix,Moffou,Salif Keita,3B8O3WgOaiKRcozz7AkIJi,2002-01-01,0,191693,0.774,0.00995,0.847,0.773,0.0469,0.961,-5.533,0.036,127.987,7,4,energetic
Little L - Bob Sinclar Remix,High Times: Singles 1992-2006,Jamiroquai,0QnoxWOseXOP3luR4gnGxh,2006-11-06,0,334933,0.776,0.00041,0.855,0.00181,0.203,0.616,-3.744,0.127,127.989,6,4,energetic
Point of View - Radio Edit,Essential - Chill Out,Various Artists,48ms0hhlSfGvdh665Ig9b8,2010-09-10,0,230453,0.666,0.00186,0.658,0.0125,0.059,0.162,-9.223,0.03,129.018,6,4,energetic
Lovin' You More (That Big Track) - Original Insturmental Mix,Lovin' You More (That Big Track),Steve Mac,4zIYxiy7r2SCcC3umluCkd,2005-11-01,0,415346,0.766,0.0167,0.919,0.92,0.063,0.661,-10.496,0.039,125.993,2,4,energetic
Strings Of Life - Danny Krivit Re-Edit,Azuli presents Xueno - Formentera 2005,Various Artists,2espTky57QpLKgVoh40jBJ,2012-07-17,0,297093,0.455,0.00756,0.825,0.867,0.0843,0.479,-6.881,0.0537,128.572,11,4,energetic
Teenage Crime - Axwell & Henrik B Remode,Teenage Crime,Adrian Lux,14SPFjj0Cs4tCxANojeCm0,2010-08-02,18,425760,0.742,0.00423,0.559,0.878,0.0998,0.31,-6.501,0.0558,128.013,11,4,energetic
Sunset (Bird Of Prey),Halfway Between The Gutter And The Stars,Fatboy Slim,2BHuK2z2SRHl5SXHoNRhS1,2000,0,409866,0.483,0.518,0.909,0.231,0.275,0.213,-11.258,0.0527,125.719,2,4,energetic
Make a Move On Me - Original Radio Edit,Tommy Boy Fitness Presents Sweat [Continuous DJ Mix by Cajjmere Wray],Various Artists,5QbunLigpBMceYuTRY0916,2009,0,180333,0.627,0.0157,0.785,1.58e-06,0.335,0.536,-8.067,0.117,128.607,1,4,energetic
Exceeder (Original Mix),Electro City Vol. 2 (Online Version),Various Artists,5S83mYXmwvahCcgrA9MV0b,2007-02-16,0,406933,0.763,0.00252,0.706,0.882,0.306,0.6,-10.07,0.102,128.02,6,4,energetic
Niton (The Reason) - Club Mix,Niton (The Reason),Eric Prydz,5FVTh4dZW2BFHdknfIqp4Z,2011-02-04,4,334480,0.546,0.00327,0.914,0.199,0.106,0.37,-4.454,0.0487,127.99,4,4,energetic
Woz Not Woz - Club Mix,Woz Not Woz,Eric Prydz,7nj6T8S1IqxT0DJHTnVwJe,2004,0,430053,0.675,0.00815,0.806,0.856,0.156,0.771,-12.482,0.0939,127.967,6,4,energetic
Take Me Away - Stonebridge Radio Edit,Take Me Away,StoneBridge,4M4CtMcL8Muwqi2TAQXB6I,2005-02-07,0,184226,0.658,3.98e-05,0.732,0.0231,0.156,0.96,-7.495,0.0299,128.015,8,4,energetic
Hey Hey - Radio Edit,Hey Hey,Dennis Ferrer,7v4aRW5gAnF8ojfJeroD4u,2009,8,209826,0.789,0.0446,0.796,0.000172,0.101,0.895,-7.175,0.063,126.007,11,4,energetic
In My Arms - Radio Edit,In My Arms,Mylo,1vRj36yHDoxFVHCOftBijZ,2005-05-13,0,191960,0.671,0.000234,0.411,0.279,0.468,0.904,-6.155,0.0353,119.988,5,4,energetic
The Weekend - Original 12 Inch Mix,The Weekend,Michael Gray,5otiVdIVGm6NEJDokQ4RF7,2004,0,472760,0.738,0.000114,0.757,0.367,0.0533,0.765,-7.209,0.0533,127.024,11,4,energetic
Be Without You - Moto Blanco Vocal Mix,We Ride (I See The Future),Mary J. Blige,4kyN7pmJsL82c1VEIzvZWi,2006-01-01,10,520400,0.844,0.000594,0.896,0.0514,0.697,0.739,-5.359,0.0832,127.984,0,4,energetic
Dusk Till Dawn (Shapeshifters Remix),Ulitimate Funky House,Various Artists,2TpVKng3Udg4lkV7H2BE3m,2010-04-26,0,437773,0.717,0.00376,0.822,0.0878,0.0374,0.62,-7.282,0.0561,128.034,7,4,energetic
This Feeling,This Feeling,Lovemakers,4wnGnJ352v2uS14724CN3m,2006-04-11,12,418000,0.818,0.00128,0.616,0.152,0.312,0.669,-8.575,0.0521,128.012,5,4,energetic
Come Into My Room (feat. LT Brown) - Take It Back Mix,Come Into My Room (feat. LT Brown),Sandy Rivera,7pgVj5Cxflu7saBLjE5LP3,2009-03-06,14,465858,0.817,0.00339,0.875,0.145,0.0793,0.701,-5.831,0.0727,125.012,1,4,energetic
Love Is the Answer - Freemasons Remix,Love Is the Answer,Funk Fanatics,3Dhzt1O6KSZ5tFqmvEZUrQ,2009-05-03,15,473560,0.776,0.000475,0.949,0.0462,0.685,0.969,-5.143,0.0447,129.019,10,4,energetic
Finally - Original Radio Edit,Finally (The 10th Anniversary Remixes),Kings Of Tomorrow,22s1j6NF0ycVF3VfQ8SRCP,2011-08-29,0,192853,0.868,0.0251,0.723,4.77e-06,0.0985,0.914,-8.209,0.0771,126.204,4,4,energetic
All I Do (Radio Edit),All I do,Cleptomaniacs,0Wx8C0yiq0Djk9EiPktvXv,2000,37,218960,0.785,0.00713,0.849,0.00042,0.34,0.96,-5.982,0.0482,125.989,11,4,energetic
Uninvited - Club Mix,Shakedown,Freemasons,4QrDaOG8HqOH5oQn7MPeX8,2013-09-23,0,475920,0.701,0.00403,0.525,0.0498,0.0564,0.665,-12.723,0.0476,126.99,7,4,energetic
I'll Be Waiting - Radio Edit,I'll Be Waiting,Full Intention,1wgkZcxVL1dcxyGaxravEA,2001,0,212102,0.657,0.213,0.78,0.000537,0.183,0.352,-6.111,0.0431,127.956,7,4,energetic
Rise up - Radio Edit,Rise up,Yves Larock,2rA5rdjx83nEctjVQYbLSC,2007,0,172173,0.674,0.000312,0.855,3.2e-05,0.323,0.772,-4.276,0.163,128.095,2,4,energetic
Turn Around (Radio Edit),Turn Around,Phats & Small,19UH83MGLKXrmmi4CECvC9,2009-01-01,0,214360,0.803,0.0353,0.778,0.00556,0.32,0.932,-7.461,0.107,131.848,6,4,energetic
Disco Down - Bini & Martini Club Mix,Disco Down (Feat. Giorgio Giordano),House of Glass,66cXk6gnHajkiLiRvw6sgA,2000-03-08,0,457853,0.764,0.18,0.942,0.259,0.368,0.92,-7.971,0.0461,126.015,8,4,energetic
Rise - Bini & Martini Original Mix,Rise,Soul Providers,0CXO3eq9KSzShW6N5samft,2001-03-14,0,436906,0.749,0.00145,0.728,0.494,0.102,0.691,-11.599,0.0512,126.013,3,4,energetic
Erotic (Original Mix),Funky Disco House,Various Artists,0tI4YDWx1v5osbVLMTgFV8,2007,0,436306,0.759,0.0212,0.962,0.776,0.877,0.905,-5.783,0.0631,125.008,9,4,energetic
Home (Knee Deep Club Mix),Home,Julie McKnight,7rkgvhoLydTQ687UlruSr9,2001,27,549360,0.831,0.0199,0.77,0.0303,0.0647,0.737,-6.685,0.0449,125.402,5,4,energetic
Music & You - Radio Version,Music & You,Room 5,4jLlDR4EJFFbVTQU21Swcx,2003-11-17,0,183533,0.831,0.00191,0.83,0.0277,0.269,0.857,-7.228,0.05,126.006,5,4,energetic
Higher - Mo & Al's Original Mix,Es Paradis - Ibiza By Night,Various Artists,3bhw80ApP3KgdLHERF5rkw,2011-11-29,0,390506,0.738,0.000608,0.686,0.908,0.0447,0.385,-11.774,0.0421,127.977,2,4,energetic
